@RELATION movies

@ATTRIBUTE director_facebook_likes 	{Low,Average,High}
@ATTRIBUTE highest_actor_rating 	{A,B,C,D,F}}
@ATTRIBUTE genre	{Sci-Fi,Action,Animation,Family,Documentary,Romance,Comedy,Drama,Horror,Thriller}
@ATTRIBUTE num_voted_users 	{Low,Average,High}
@ATTRIBUTE content_rating 	{Approved,G,NC-17,PG,PG-13,R,Unrated}
@ATTRIBUTE budget 	{Low,Medium,High}
@ATTRIBUTE imdb_score	{Excellent,Good,Above_Average,Average,Below_Average,Poor,Awful}

@DATA
Low,D,Comedy,High,PG-13,High,Average
Low,F,Animation,Average,PG,High,Below_Average
Low,C,Romance,High,R,High,Above_Average
Low,C,Comedy,High,PG-13,High,Average
Low,F,Family,High,PG,High,Above_Average
Low,D,Romance,High,R,High,Good
Low,F,Animation,Average,G,High,Below_Average
High,F,Thriller,High,R,High,Good
Low,D,Thriller,High,PG-13,High,Above_Average
Low,F,Thriller,Average,R,High,Average
Average,F,Sci-Fi,High,PG,High,Good
Low,F,Animation,High,PG,High,Above_Average
Low,F,Family,Average,PG,High,Below_Average
Low,C,Thriller,High,R,High,Average
Low,F,Family,Average,PG,High,Below_Average
Average,B,Thriller,High,PG-13,High,Above_Average
Low,F,Comedy,High,PG-13,High,Average
Low,D,Animation,High,PG,High,Average
Low,F,Comedy,High,PG-13,High,Below_Average
High,D,Drama,Average,PG-13,High,Below_Average
Low,D,Family,Average,PG,High,Below_Average
Low,F,Sci-Fi,High,PG-13,High,Average
Average,D,Romance,Average,PG-13,High,Below_Average
Average,D,Romance,High,PG-13,High,Average
Low,D,Thriller,High,PG-13,High,Above_Average
Low,D,Drama,High,R,High,Average
Low,C,Action,Average,PG-13,High,Average
Low,D,Thriller,High,R,High,Above_Average
Low,D,Thriller,High,PG-13,High,Below_Average
Low,F,Thriller,Average,PG-13,High,Average
Low,D,Thriller,High,PG-13,High,Above_Average
Low,F,Sci-Fi,High,R,High,Below_Average
Low,F,Documentary,Average,PG,High,Above_Average
Low,D,Thriller,High,PG-13,High,Average
Low,F,Comedy,Average,PG,High,Poor
Low,F,Animation,High,PG,High,Above_Average
Low,D,Sci-Fi,High,R,High,Below_Average
High,C,Thriller,High,R,High,Above_Average
Low,C,Family,Low,PG,High,Poor
Average,F,Comedy,High,PG-13,High,Average
Low,F,Family,Average,PG,High,Below_Average
Low,F,Horror,High,PG-13,High,Average
Low,F,Drama,Average,PG-13,High,Average
Low,D,Animation,Average,PG,High,Above_Average
Low,B,Thriller,High,R,High,Average
Average,F,Sci-Fi,High,PG-13,High,Average
Low,F,Romance,Low,PG-13,High,Average
Low,F,Sci-Fi,Average,PG-13,High,Below_Average
Low,F,Thriller,Average,R,High,Below_Average
Low,F,Thriller,High,PG-13,High,Average
Average,A,Comedy,Average,PG-13,High,Average
Low,F,Horror,High,R,High,Average
Average,F,Thriller,High,R,High,Above_Average
Low,F,Animation,Average,PG,High,Average
Low,F,Romance,Average,PG-13,High,Average
Low,F,Comedy,Average,PG-13,High,Below_Average
Low,C,Sci-Fi,High,PG-13,High,Average
Low,A,Thriller,High,R,High,Average
High,D,Comedy,Average,PG-13,High,Poor
High,D,Drama,High,PG-13,High,Above_Average
Low,D,Thriller,Average,PG-13,High,Average
Low,F,Family,Low,PG,High,Poor
Low,F,Thriller,Average,PG-13,High,Average
Low,B,Sci-Fi,Average,PG-13,High,Average
Low,F,Comedy,Average,PG-13,High,Average
High,C,Comedy,Average,R,High,Below_Average
Low,C,Thriller,Average,R,High,Average
Low,D,Thriller,Average,R,High,Average
Low,D,Romance,Average,PG-13,High,Average
Average,C,Comedy,High,R,High,Above_Average
Low,F,Thriller,Average,PG-13,High,Poor
Low,F,Horror,High,PG-13,High,Below_Average
Low,D,Animation,Average,PG,High,Average
Low,B,Sci-Fi,High,PG-13,High,Good
Low,F,Thriller,Average,PG-13,High,Average
Low,F,Thriller,Average,R,High,Average
Average,F,Horror,Low,PG-13,High,Poor
Low,C,Romance,Average,PG-13,High,Average
Low,F,Horror,High,PG-13,High,Average
Low,F,Family,Average,PG,High,Poor
Low,F,Horror,Average,PG-13,Medium,Below_Average
High,D,Comedy,Average,PG-13,High,Average
Average,C,Thriller,Average,PG-13,High,Poor
Low,D,Action,Average,R,High,Average
Low,D,Action,Low,R,High,Average
Low,C,Sci-Fi,High,R,High,Good
Low,F,Comedy,Low,PG,High,Poor
High,D,Thriller,High,R,High,Above_Average
Low,F,Family,Average,PG,High,Average
Low,F,Romance,High,PG-13,High,Average
Low,F,Family,Low,PG,High,Awful
Low,D,Thriller,High,R,High,Below_Average
Low,F,Comedy,Average,PG-13,High,Average
Low,F,Comedy,Average,PG-13,High,Poor
Low,F,Comedy,High,PG-13,High,Average
Low,F,Action,Average,PG-13,High,Below_Average
Low,C,Thriller,High,R,High,Above_Average
Low,D,Comedy,Average,R,High,Below_Average
Average,F,Romance,Average,PG-13,High,Average
Average,F,Comedy,Average,PG-13,High,Average
Low,D,Thriller,High,PG-13,High,Poor
Low,D,Action,Average,PG-13,High,Average
Low,D,Comedy,High,PG-13,High,Good
Low,F,Animation,Average,PG,High,Below_Average
Low,C,Comedy,High,PG-13,High,Above_Average
Low,C,Animation,High,G,High,Average
Average,D,Sci-Fi,High,PG,High,Above_Average
Low,F,Sci-Fi,High,PG-13,High,Below_Average
Low,D,Comedy,High,PG-13,High,Average
Low,F,Family,Average,PG,High,Below_Average
Low,F,Comedy,High,R,High,Average
Average,D,Thriller,High,PG-13,High,Above_Average
Low,D,Thriller,High,PG-13,High,Average
Low,F,Family,High,PG,High,Average
Average,C,Thriller,High,R,High,Above_Average
Low,F,Comedy,Average,PG-13,High,Below_Average
High,C,Thriller,High,R,High,Above_Average
Low,D,Drama,High,PG-13,High,Good
Low,F,Thriller,High,PG-13,High,Average
Low,F,Thriller,Average,R,High,Average
High,F,Action,High,R,Medium,Good
Low,C,Comedy,Average,PG-13,High,Average
High,F,Thriller,High,R,Medium,Good
Low,D,Thriller,Average,R,High,Average
Low,D,Horror,Average,PG-13,High,Average
Low,F,Action,High,PG-13,High,Average
Low,F,Thriller,Average,R,High,Average
Low,F,Family,Average,PG,High,Average
Low,F,Romance,High,PG-13,High,Average
Low,F,Animation,Low,PG,High,Below_Average
High,F,Horror,High,R,High,Average
Average,F,Drama,Average,PG,High,Average
Low,F,Horror,Average,R,High,Average
Low,F,Sci-Fi,High,R,High,Below_Average
Average,F,Thriller,Average,R,High,Average
Low,D,Thriller,Average,R,High,Average
Low,D,Comedy,Average,PG-13,High,Below_Average
Low,D,Comedy,Average,R,High,Below_Average
High,D,Thriller,High,R,High,Above_Average
Low,C,Sci-Fi,Average,PG-13,High,Below_Average
High,C,Thriller,Average,R,High,Below_Average
Low,D,Sci-Fi,High,PG-13,High,Below_Average
Low,F,Action,Low,PG-13,High,Average
Low,F,Thriller,Low,R,High,Poor
Low,F,Family,Low,PG,High,Below_Average
Low,F,Family,Average,PG,High,Average
Low,F,Romance,Average,PG-13,High,Average
Low,D,Horror,Low,R,High,Below_Average
Low,D,Horror,High,R,High,Average
Low,D,Romance,High,PG-13,High,Above_Average
Average,D,Thriller,Average,R,High,Below_Average
Low,D,Drama,High,R,High,Above_Average
Average,F,Comedy,Average,PG-13,High,Average
Low,F,Comedy,Average,PG-13,High,Below_Average
Low,F,Sci-Fi,Average,PG,High,Average
Low,F,Comedy,Average,R,High,Awful
Average,F,Animation,High,G,High,Above_Average
Average,F,Romance,High,PG-13,High,Above_Average
Low,D,Thriller,Average,PG-13,High,Below_Average
Low,A,Drama,High,R,High,Above_Average
High,C,Action,High,R,High,Above_Average
Average,C,Thriller,High,R,High,Above_Average
Low,C,Horror,High,R,High,Above_Average
Average,F,Horror,Low,R,High,Below_Average
Low,C,Romance,Low,PG-13,High,Below_Average
High,B,Drama,High,PG-13,High,Good
Low,F,Thriller,High,R,High,Above_Average
Low,F,Comedy,High,PG-13,High,Below_Average
Low,D,Family,High,PG-13,High,Average
Low,D,Comedy,High,PG-13,High,Below_Average
Average,F,Comedy,Average,PG-13,High,Below_Average
Low,F,Action,High,R,High,Above_Average
Low,C,Romance,High,R,High,Average
High,C,Drama,High,R,High,Good
Low,F,Romance,Average,PG-13,High,Below_Average
Low,F,Comedy,High,R,High,Average
Low,C,Romance,High,PG-13,High,Poor
Low,F,Animation,High,PG,High,Above_Average
Low,D,Sci-Fi,High,PG-13,High,Above_Average
Low,B,Romance,High,PG-13,High,Average
Average,D,Comedy,High,R,High,Above_Average
High,D,Romance,High,R,High,Above_Average
Low,F,Comedy,High,PG-13,High,Above_Average
Low,A,Comedy,High,PG-13,High,Average
Low,D,Comedy,High,PG-13,High,Average
Low,D,Comedy,High,PG-13,High,Below_Average
High,F,Sci-Fi,High,PG-13,High,Above_Average
Low,D,Drama,High,R,High,Above_Average
Low,D,Comedy,High,PG-13,High,Average
Low,C,Comedy,High,R,High,Above_Average
Low,D,Horror,High,R,High,Above_Average
Low,D,Comedy,High,PG-13,High,Average
Low,D,Comedy,Average,PG-13,High,Average
Low,D,Comedy,Average,PG-13,High,Average
Low,D,Family,Average,PG-13,High,Average
Low,A,Romance,High,PG,High,Average
Low,C,Thriller,High,R,High,Above_Average
Low,F,Thriller,High,R,High,Above_Average
Low,F,Sci-Fi,Average,PG-13,High,Below_Average
Low,D,Sci-Fi,High,PG-13,High,Average
Low,D,Comedy,Average,PG-13,High,Below_Average
Low,A,Comedy,High,PG-13,High,Above_Average
Low,D,Animation,Average,PG,High,Below_Average
Low,F,Family,Average,PG,High,Below_Average
Low,C,Drama,High,PG-13,High,Above_Average
Low,C,Thriller,High,R,High,Average
Low,D,Family,Average,PG,High,Below_Average
Low,C,Thriller,High,R,High,Good
Low,F,Comedy,High,PG-13,High,Average
Low,D,Animation,Low,G,High,Average
Low,F,Family,Average,G,High,Poor
Low,F,Thriller,Average,R,High,Average
Low,F,Thriller,Average,R,High,Average
Low,D,Sci-Fi,High,PG-13,High,Average
Low,D,Thriller,High,R,High,Above_Average
Low,F,Thriller,Average,R,High,Above_Average
Low,C,Animation,Average,PG,High,Above_Average
Low,A,Thriller,Average,PG-13,High,Below_Average
High,C,Thriller,Average,R,High,Average
Low,D,Action,Average,R,High,Below_Average
High,F,Thriller,High,R,High,Above_Average
Low,C,Comedy,Average,PG-13,High,Average
Low,F,Comedy,High,R,High,Average
Low,F,Thriller,Average,PG-13,High,Below_Average
Average,F,Thriller,Average,R,High,Below_Average
Low,C,Horror,Average,PG-13,High,Average
Low,C,Drama,High,R,High,Above_Average
Low,F,Thriller,Average,R,High,Below_Average
Low,C,Thriller,Average,R,High,Average
Low,F,Thriller,Low,R,High,Poor
Low,D,Family,Average,PG,High,Awful
Low,B,Thriller,High,R,High,Average
Low,F,Comedy,Average,PG-13,High,Average
Low,F,Thriller,Average,R,High,Average
Low,B,Romance,Average,PG-13,High,Average
Low,F,Thriller,Average,R,High,Poor
Low,D,Family,Low,PG,High,Poor
High,D,Romance,High,PG-13,High,Average
Low,A,Thriller,Average,R,High,Average
Low,D,Comedy,Low,R,High,Below_Average
Average,F,Sci-Fi,High,PG-13,High,Below_Average
High,C,Thriller,Average,R,High,Average
Average,F,Thriller,High,R,High,Average
Low,D,Sci-Fi,Average,R,High,Below_Average
Average,D,Animation,High,PG,High,Good
Low,D,Comedy,High,R,High,Above_Average
Average,D,Action,Low,R,High,Average
Average,C,Thriller,High,R,High,Above_Average
Low,F,Comedy,Low,PG-13,High,Below_Average
Low,D,Thriller,Average,R,High,Average
Low,D,Thriller,High,R,Medium,Above_Average
Low,C,Thriller,Average,PG-13,High,Below_Average
Low,C,Romance,High,R,High,Below_Average
Low,F,Thriller,Average,PG-13,High,Average
Average,F,Thriller,Low,PG-13,High,Average
Low,F,Family,Average,PG,High,Below_Average
Average,D,Romance,Low,R,High,Below_Average
Low,F,Thriller,Average,PG-13,Medium,Average
Average,F,Thriller,Low,R,High,Below_Average
Low,C,Sci-Fi,High,R,High,Below_Average
Low,F,Romance,Average,PG-13,High,Average
Low,D,Comedy,Average,PG-13,High,Poor
Low,D,Comedy,Low,PG-13,High,Poor
Low,F,Sci-Fi,Low,R,High,Below_Average
Low,D,Thriller,High,R,High,Below_Average
Low,B,Sci-Fi,Average,PG-13,High,Below_Average
Low,F,Comedy,Low,R,High,Average
Low,F,Thriller,High,R,High,Above_Average
High,D,Romance,High,PG-13,High,Good
Average,C,Sci-Fi,High,R,High,Average
Low,C,Thriller,High,R,High,Average
High,C,Thriller,High,R,High,Average
Average,F,Comedy,High,R,High,Above_Average
Low,C,Sci-Fi,High,PG-13,High,Above_Average
Average,C,Romance,Average,PG-13,High,Average
High,F,Romance,High,PG-13,High,Average
Low,D,Drama,Low,R,High,Average
Average,C,Action,High,R,High,Above_Average
Low,F,Thriller,Average,R,High,Above_Average
Low,F,Thriller,High,PG-13,High,Average
Average,F,Thriller,Average,PG,High,Average
Average,F,Thriller,Average,R,High,Average
Average,F,Comedy,Average,PG-13,High,Average
Low,D,Drama,High,R,Medium,Above_Average
Low,F,Animation,Low,PG,High,Poor
Average,D,Horror,Low,R,High,Below_Average
Low,D,Comedy,High,PG-13,High,Average
Low,D,Comedy,Average,PG-13,High,Below_Average
High,D,Thriller,High,R,High,Above_Average
Average,F,Sci-Fi,High,PG-13,High,Above_Average
Low,D,Action,Average,PG-13,High,Poor
Average,C,Thriller,Average,R,High,Average
Low,F,Romance,High,PG-13,High,Average
Low,F,Family,Average,PG,High,Poor
Low,F,Comedy,High,PG-13,High,Below_Average
Low,F,Comedy,High,PG-13,High,Average
Low,D,Family,High,PG,High,Below_Average
Low,D,Family,Average,G,High,Below_Average
Low,C,Thriller,Average,PG-13,High,Average
Average,F,Thriller,Average,PG-13,High,Average
Low,D,Comedy,High,PG-13,High,Above_Average
Low,D,Thriller,High,R,High,Average
Average,C,Thriller,High,R,High,Good
Average,C,Thriller,High,R,High,Above_Average
Low,B,Sci-Fi,High,PG,High,Above_Average
Average,F,Comedy,High,R,High,Below_Average
Low,F,Family,Average,PG,High,Above_Average
Low,F,Horror,High,R,High,Above_Average
Low,C,Drama,High,PG-13,Medium,Above_Average
Low,F,Thriller,Average,R,High,Average
Low,F,Horror,Average,PG-13,High,Poor
Low,F,Comedy,High,PG-13,High,Below_Average
Average,C,Animation,High,G,High,Above_Average
Low,A,Horror,High,R,High,Average
Low,F,Comedy,Average,R,High,Average
Low,F,Family,Low,Unrated,Low,Above_Average
Low,D,Family,Average,PG,High,Below_Average
Low,D,Sci-Fi,High,PG,High,Average
Low,F,Family,Low,PG,Medium,Poor
Low,A,Comedy,High,PG-13,High,Average
Low,F,Comedy,Average,PG-13,High,Average
Low,D,Thriller,Average,PG-13,High,Average
Low,F,Family,Average,PG,High,Below_Average
Low,F,Thriller,High,R,High,Average
Low,F,Thriller,Average,PG-13,Medium,Average
Low,D,Animation,Average,PG,High,Below_Average
Low,F,Sci-Fi,High,PG-13,High,Average
Low,F,Romance,High,PG-13,High,Above_Average
Low,B,Romance,High,R,High,Above_Average
Low,F,Thriller,Low,R,High,Below_Average
High,F,Sci-Fi,Average,PG-13,High,Average
Low,F,Family,Low,PG,High,Below_Average
Low,F,Thriller,Average,R,High,Average
Low,D,Comedy,Average,PG-13,High,Average
Low,D,Action,Low,PG-13,High,Below_Average
Low,D,Drama,Average,R,High,Above_Average
Low,F,Horror,Average,R,High,Average
Low,C,Thriller,Low,R,High,Average
Low,D,Thriller,Average,R,High,Below_Average
Low,D,Thriller,Low,PG-13,High,Average
Low,F,Romance,Low,R,High,Average
Low,F,Thriller,Low,R,High,Poor
Low,F,Comedy,High,PG,High,Average
Low,F,Animation,Low,PG,High,Awful
Low,F,Thriller,High,R,High,Above_Average
Low,D,Thriller,High,PG-13,High,Above_Average
Low,C,Comedy,High,PG-13,High,Below_Average
Low,C,Thriller,High,R,High,Above_Average
Low,D,Thriller,High,R,High,Average
Low,C,Thriller,Low,R,High,Below_Average
Low,F,Animation,High,Approved,Low,Above_Average
Average,D,Action,Low,R,High,Average
Low,F,Sci-Fi,High,R,High,Average
Low,D,Horror,Average,PG-13,High,Average
Average,F,Drama,Average,PG-13,High,Above_Average
Low,D,Comedy,Average,PG-13,High,Average
Low,F,Comedy,Average,R,High,Below_Average
Average,D,Thriller,High,R,High,Average
Low,F,Romance,Average,PG-13,High,Average
Low,B,Thriller,High,R,High,Average
Low,C,Comedy,High,R,High,Above_Average
Low,C,Comedy,High,PG-13,High,Below_Average
Low,F,Comedy,Average,R,High,Below_Average
Low,F,Comedy,High,R,High,Average
Low,F,Comedy,Average,PG,High,Average
Low,D,Thriller,Average,PG-13,High,Average
Low,D,Comedy,Low,PG-13,High,Average
Low,F,Horror,Average,PG-13,Medium,Average
Low,F,Comedy,High,R,High,Below_Average
Average,D,Horror,High,PG-13,High,Below_Average
Low,C,Thriller,Average,R,High,Average
Average,D,Thriller,High,R,High,Above_Average
Low,F,Thriller,Average,PG-13,High,Below_Average
Low,D,Comedy,High,R,High,Average
Low,F,Drama,High,R,High,Above_Average
Low,D,Romance,High,PG-13,High,Average
Low,D,Thriller,High,PG-13,High,Good
Low,F,Thriller,High,PG-13,High,Average
Low,F,Comedy,Average,PG,High,Average
Low,F,Family,High,PG,Low,Above_Average
Average,A,Drama,High,R,High,Above_Average
Low,C,Comedy,High,PG-13,High,Average
Low,F,Thriller,Average,R,High,Average
Low,F,Sci-Fi,High,PG,High,Above_Average
Average,F,Romance,High,R,High,Poor
Low,D,Family,Average,PG,High,Poor
Average,C,Thriller,High,R,High,Above_Average
Low,F,Family,Average,PG,High,Below_Average
Average,F,Thriller,High,R,High,Above_Average
Average,D,Comedy,Average,PG,High,Above_Average
Low,F,Horror,Average,R,High,Above_Average
High,D,Drama,High,PG-13,High,Above_Average
Low,F,Comedy,High,PG-13,High,Average
Low,F,Comedy,High,PG-13,High,Below_Average
Low,F,Horror,High,R,High,Below_Average
Low,F,Action,High,PG,High,Above_Average
Low,D,Comedy,High,R,High,Average
Low,C,Horror,High,R,High,Above_Average
Low,D,Romance,Average,PG-13,High,Above_Average
Low,D,Drama,Average,PG-13,High,Above_Average
Average,C,Thriller,High,R,High,Above_Average
Low,D,Comedy,High,PG-13,High,Below_Average
Low,C,Family,Average,PG,High,Above_Average
Low,C,Comedy,High,PG-13,High,Above_Average
Low,F,Comedy,Average,PG-13,High,Below_Average
Low,F,Action,High,R,High,Above_Average
Low,F,Drama,High,PG-13,High,Above_Average
Average,F,Thriller,High,R,High,Good
Low,F,Thriller,High,PG-13,High,Average
Low,B,Comedy,High,R,High,Above_Average
Low,F,Romance,High,PG-13,High,Below_Average
Low,C,Comedy,Average,PG-13,High,Poor
Average,B,Comedy,High,R,Medium,Average
High,F,Action,High,PG-13,High,Above_Average
Low,F,Family,High,PG-13,Medium,Average
Average,F,Comedy,High,PG-13,High,Average
Low,A,Horror,Average,R,High,Below_Average
High,D,Thriller,High,PG-13,High,Above_Average
Low,F,Thriller,High,PG-13,High,Average
Low,F,Comedy,Average,PG-13,High,Average
Low,F,Family,Average,PG-13,High,Average
Low,F,Horror,Average,R,High,Below_Average
Low,D,Thriller,High,R,High,Above_Average
High,C,Sci-Fi,High,PG-13,High,Good
Low,C,Comedy,High,R,High,Average
Low,F,Animation,Average,PG,High,Below_Average
Low,F,Thriller,High,R,High,Above_Average
Low,F,Sci-Fi,High,R,High,Average
Average,F,Comedy,Low,PG,High,Below_Average
Low,A,Thriller,High,PG-13,High,Average
Low,C,Romance,High,PG,High,Average
Low,F,Horror,High,PG-13,High,Average
Low,F,Family,Average,PG,Medium,Average
Low,F,Comedy,Average,PG-13,High,Below_Average
High,F,Drama,Average,R,High,Average
Low,D,Thriller,Average,PG-13,High,Above_Average
Average,C,Horror,High,R,High,Below_Average
High,D,Drama,Average,R,High,Above_Average
Average,F,Romance,Low,PG-13,High,Average
Low,F,Horror,High,R,High,Poor
Low,F,Family,Average,PG,High,Below_Average
Average,B,Romance,Average,PG-13,High,Below_Average
Low,F,Sci-Fi,High,R,High,Above_Average
Low,F,Comedy,Average,PG-13,High,Below_Average
Low,F,Horror,High,R,High,Average
Low,F,Drama,Average,R,High,Above_Average
Low,F,Comedy,High,R,High,Below_Average
Low,F,Horror,High,R,High,Below_Average
Low,C,Drama,High,PG-13,High,Above_Average
Low,F,Comedy,Average,PG-13,Medium,Average
Low,F,Comedy,Average,PG-13,High,Below_Average
High,D,Action,High,R,High,Average
Low,F,Thriller,Low,PG-13,Medium,Average
Average,D,Drama,High,PG-13,High,Average
Low,F,Comedy,Average,PG-13,High,Average
Low,F,Drama,Average,R,High,Below_Average
Low,F,Thriller,Average,R,High,Below_Average
Low,F,Romance,Average,PG-13,High,Above_Average
Low,F,Horror,Low,R,High,Below_Average
Low,F,Comedy,Low,PG-13,High,Below_Average
Low,D,Horror,Average,PG-13,High,Poor
Low,C,Romance,Average,PG-13,High,Average
Low,F,Horror,Average,R,High,Below_Average
High,C,Thriller,Average,R,Low,Above_Average
Average,F,Comedy,Low,PG-13,High,Average
Low,D,Animation,Low,G,High,Average
Low,C,Thriller,Average,R,High,Average
Low,F,Romance,Low,PG-13,High,Below_Average
Low,F,Comedy,Average,PG-13,High,Poor
Low,D,Thriller,Low,R,High,Average
Low,F,Romance,Average,PG-13,High,Average
Low,D,Thriller,Low,R,High,Below_Average
Low,D,Thriller,Average,R,High,Below_Average
Low,F,Thriller,Low,PG-13,High,Poor
Low,D,Animation,High,PG,High,Above_Average
Low,D,Comedy,Low,PG-13,High,Below_Average
Low,F,Sci-Fi,Low,PG-13,High,Below_Average
Low,F,Family,Low,PG,Medium,Poor
Low,F,Romance,Low,PG,High,Average
Low,F,Drama,Low,PG-13,High,Average
Low,D,Thriller,Average,PG-13,High,Below_Average
Low,D,Horror,Average,PG-13,High,Average
Low,F,Comedy,Average,PG-13,High,Below_Average
Low,F,Sci-Fi,Average,R,Medium,Poor
Low,F,Sci-Fi,Low,R,High,Average
Low,F,Comedy,Average,PG-13,High,Below_Average
Low,F,Animation,Low,PG,High,Poor
Low,F,Thriller,Average,R,High,Below_Average
Low,F,Thriller,High,PG-13,Medium,Average
Low,D,Thriller,Average,PG-13,Medium,Average
Low,F,Thriller,Average,R,Medium,Average
Low,F,Romance,High,R,Medium,Above_Average
Low,F,Sci-Fi,High,PG-13,High,Above_Average
Average,C,Thriller,High,PG-13,High,Average
High,F,Animation,Average,PG,High,Above_Average
Low,F,Sci-Fi,High,PG-13,High,Good
Average,F,Romance,Low,PG-13,High,Below_Average
Low,C,Comedy,Average,PG-13,High,Average
Low,F,Comedy,High,PG-13,High,Average
Low,C,Comedy,High,R,High,Average
Low,F,Comedy,Low,PG,High,Below_Average
Low,D,Family,Average,PG,High,Below_Average
Low,F,Sci-Fi,Average,PG,High,Average
Average,C,Romance,High,PG-13,High,Average
Low,C,Drama,Average,R,High,Above_Average
Low,F,Thriller,Average,PG-13,High,Below_Average
Low,F,Comedy,Average,PG-13,High,Average
Low,F,Comedy,Average,PG,Medium,Poor
Low,F,Romance,Low,R,High,Below_Average
Low,F,Comedy,Low,PG,High,Below_Average
Low,B,Thriller,Low,R,High,Average
Low,F,Drama,Average,R,High,Average
Average,F,Drama,High,R,Low,Above_Average
Low,D,Drama,Low,PG-13,High,Average
Low,F,Horror,High,R,Medium,Good
Low,D,Sci-Fi,High,R,High,Average
Low,F,Thriller,Low,R,High,Average
Low,F,Action,Low,PG-13,High,Below_Average
Low,D,Family,Average,PG,High,Average
Low,F,Drama,High,R,Medium,Above_Average
Low,F,Drama,Low,PG,High,Above_Average
Low,C,Sci-Fi,Average,PG-13,High,Below_Average
Low,D,Drama,High,PG-13,High,Above_Average
Low,D,Thriller,High,R,High,Above_Average
Low,D,Comedy,Average,PG-13,High,Below_Average
Average,B,Comedy,High,R,High,Above_Average
Low,C,Family,Average,PG,High,Average
Low,F,Drama,High,R,High,Good
Low,D,Comedy,Average,R,High,Below_Average
Low,F,Comedy,Average,R,High,Average
Low,D,Family,Low,PG,High,Average
Average,C,Romance,High,PG-13,High,Below_Average
Average,C,Thriller,High,PG-13,High,Above_Average
Low,F,Thriller,Average,PG-13,High,Average
Low,F,Comedy,High,R,High,Above_Average
Low,F,Thriller,Average,R,High,Average
Low,F,Sci-Fi,High,R,High,Average
Low,D,Family,Low,PG,High,Average
Low,D,Family,Average,R,Medium,Below_Average
Average,D,Thriller,Average,R,High,Average
Average,D,Comedy,Average,PG-13,High,Below_Average
Low,F,Drama,Low,PG-13,High,Average
Low,F,Thriller,Low,PG-13,High,Average
Low,D,Horror,Average,PG-13,High,Average
Average,F,Sci-Fi,High,PG-13,High,Above_Average
Low,F,Comedy,Low,R,High,Below_Average
Low,F,Animation,Low,G,High,Poor
Low,F,Comedy,Low,PG-13,High,Below_Average
Average,D,Comedy,High,R,High,Above_Average
Low,A,Comedy,High,PG-13,Medium,Average
High,F,Action,High,PG-13,High,Above_Average
Average,F,Thriller,High,R,High,Average
Low,F,Drama,High,PG-13,Medium,Above_Average
Low,F,Family,High,PG,High,Below_Average
Low,C,Comedy,High,R,High,Average
Average,D,Action,High,PG-13,High,Above_Average
Low,D,Comedy,High,PG-13,High,Average
Average,D,Sci-Fi,Average,PG,High,Average
Low,F,Comedy,High,R,High,Below_Average
High,C,Thriller,High,R,High,Above_Average
Low,C,Thriller,High,PG-13,High,Average
Low,F,Comedy,Average,PG-13,High,Below_Average
Average,D,Action,High,R,Medium,Above_Average
Low,C,Thriller,High,R,High,Good
Low,F,Family,Average,PG,High,Average
Low,C,Comedy,Average,PG-13,High,Average
Low,F,Horror,Average,R,High,Below_Average
Low,A,Horror,High,NC-17,Low,Above_Average
Average,F,Horror,Average,R,Medium,Average
Low,B,Action,High,PG-13,High,Average
Low,F,Family,Average,PG,High,Above_Average
Low,F,Drama,Average,PG,High,Average
Low,D,Comedy,High,R,High,Average
Low,C,Comedy,Average,R,High,Average
Low,D,Comedy,High,PG-13,High,Above_Average
Low,C,Romance,Average,PG-13,Medium,Above_Average
Low,F,Comedy,High,R,High,Average
Low,A,Family,Average,PG,High,Below_Average
Low,F,Sci-Fi,High,R,High,Average
Low,A,Comedy,Average,PG-13,High,Below_Average
Low,D,Comedy,Average,PG-13,Medium,Below_Average
Low,F,Comedy,Average,PG-13,Medium,Below_Average
Low,A,Drama,High,R,High,Above_Average
Average,F,Horror,High,PG,Low,Above_Average
Average,B,Thriller,High,R,High,Average
Average,C,Sci-Fi,High,PG-13,High,Average
Low,F,Comedy,Average,PG-13,High,Below_Average
Low,F,Comedy,Average,PG-13,High,Below_Average
Low,F,Romance,Average,PG-13,High,Poor
Low,A,Horror,High,R,High,Average
Average,F,Family,Low,PG,Medium,Average
Low,C,Romance,High,R,Medium,Above_Average
High,B,Drama,High,R,High,Average
Low,F,Horror,High,R,High,Average
Low,F,Horror,Average,R,High,Below_Average
Low,F,Horror,High,R,High,Average
Low,F,Thriller,Average,R,High,Average
Low,F,Sci-Fi,Average,PG-13,High,Average
Low,F,Comedy,Average,PG-13,High,Average
Average,F,Thriller,Average,PG-13,High,Below_Average
High,C,Thriller,Average,R,Medium,Average
Low,C,Thriller,Low,R,Medium,Average
Low,F,Drama,Low,R,High,Average
Low,F,Sci-Fi,Average,PG-13,Medium,Below_Average
Low,D,Family,Average,PG,High,Average
Average,F,Thriller,Average,PG-13,High,Below_Average
Low,C,Comedy,Average,R,High,Above_Average
Low,F,Sci-Fi,Average,PG-13,High,Poor
Low,F,Thriller,Average,R,High,Average
Low,F,Horror,Average,PG-13,High,Below_Average
Low,C,Thriller,High,PG-13,High,Average
Low,F,Comedy,Average,PG-13,High,Below_Average
Low,B,Thriller,High,R,High,Average
Low,F,Family,Low,PG,High,Awful
Low,D,Thriller,Average,R,High,Average
